TopK,Mode,Baseline Accuracy,Baseline Precision,Accuracy (Float32),Precision (Float32),Recall (Float32),F1 Score (Float32),ROC AUC (Float32),PR AUC (Float32),MCC (Float32),Elapsed (s),Model Size (KB)
5,Float32,0.8537151702786377,0.0,0.9192466460268318,0.9177631578947368,0.49206349206349204,0.6406429391504018,0.9152629006562722,0.7729232893281365,0.6368668632191286,0.2006,37.52
10,Float32,0.8537151702786377,0.0,0.9628482972136223,0.9490445859872612,0.7883597883597884,0.861271676300578,0.9833733343353572,0.9452755210596374,0.8448533747989436,0.1401,40.02
15,Float32,0.8537151702786377,0.0,0.9767801857585139,0.9297297297297298,0.91005291005291,0.9197860962566845,0.9925653034346495,0.9722318429251787,0.9062841128644892,0.1405,42.52
20,Float32,0.8537151702786377,0.0,0.9816821465428277,0.9626865671641791,0.91005291005291,0.9356300997280145,0.9965861903003033,0.9836182540604673,0.9254584754418944,0.1426,45.02
25,Float32,0.8537151702786377,0.0,0.9821981424148607,0.9628252788104089,0.9135802469135802,0.9375565610859729,0.9962717253943203,0.9824188796369737,0.9276187753380958,0.1437,47.52
30,Float32,0.8537151702786377,0.0,0.9871001031991744,0.977818853974122,0.9329805996472663,0.9548736462093863,0.9976265894468777,0.9894697329286809,0.9477081008599391,0.1605,50.02
35,Float32,0.8537151702786377,0.0,0.9871001031991744,0.969147005444646,0.9417989417989417,0.9552772808586762,0.9984228785477904,0.9922283346254359,0.9478746958673917,0.1476,52.52
40,Float32,0.8537151702786377,0.0,0.9896800825593395,0.976491862567812,0.9523809523809523,0.9642857142857143,0.9990363516101403,0.9947550637521356,0.9583577481992106,0.1497,55.02
45,Float32,0.8537151702786377,0.0,0.9901960784313726,0.9800362976406534,0.9523809523809523,0.9660107334525939,0.9986861762826305,0.9934759590675073,0.9604183329830835,0.15,57.52
50,Float32,0.8537151702786377,0.0,0.9891640866873065,0.9764065335753176,0.9488536155202821,0.962432915921288,0.9986376740683178,0.9938030544738822,0.9562371206111863,0.1528,60.02
55,Float32,0.8537151702786377,0.0,0.9896800825593395,0.9747747747747748,0.9541446208112875,0.964349376114082,0.9991424168919887,0.9955631965446623,0.9583919365125257,0.1533,62.52
60,Float32,0.8537151702786377,0.0,0.9912280701754386,0.9750445632798574,0.9647266313932981,0.9698581560283688,0.9991072394618279,0.9954417605503938,0.9647441676385592,0.1509,65.02
