Model,Top-K,Accuracy,Precision,AUC,F1 Score,Inference Time (ms)
Top-5 RF,5,0.9908659304365776,0.9846827133479212,0.994383809346835,0.9682625067240452,226.52602195739746
Top-6 RF,6,0.9913303746516668,0.9829771821803694,0.9963345270584989,0.9699785561115082,231.65106773376465
Top-7 RF,7,0.991640004128393,0.9830140946873871,0.9964031206792495,0.9710817565155302,230.4079532623291
Top-8 RF,8,0.9922592630818454,0.9799785484447623,0.9977986287885743,0.9733664772727273,216.11499786376953
Top-9 RF,9,0.9929817318608731,0.9817922170653338,0.9980656577626091,0.9758694109297374,200.38819313049316
Top-10 RF,10,0.9928785220352978,0.9824686940966011,0.9983958112048543,0.9754884547069271,200.15811920166016
Top-11 RF,11,0.9932913613375993,0.9842463301109917,0.998321023475671,0.9769012082444918,200.45900344848633
Top-12 RF,12,0.9935493859015379,0.985663082437276,0.9984251612573762,0.9777777777777777,201.26605033874512
Top-13 RF,13,0.993859015378264,0.985,0.9982843492364135,0.9788819875776398,199.71084594726562
Top-14 RF,14,0.9939622252038394,0.9888489208633093,0.9985387128045654,0.9791629563668744,202.409029006958
Top-15 RF,15,0.9956651873258334,0.9942508084800575,0.9990047954766164,0.9850480598077608,194.68212127685547
Top-16 RF,16,0.9957167922386211,0.9960346070656092,0.9991748402778244,0.9852023533606703,187.00194358825684
Top-17 RF,17,0.9956135824130458,0.9953170028818443,0.9989891342971196,0.9848511851719836,189.15510177612305
Top-18 RF,18,0.9953555578491072,0.997462848858282,0.9993295224107853,0.9839113335716839,186.9070529937744
Top-19 RF,19,0.9950975332851687,0.9956584659913169,0.9989939317993479,0.98303268440793,185.58311462402344
Top-20 RF,20,0.9956651873258334,0.9971087820744489,0.9992838501895707,0.9850053552302749,184.68570709228516
Top-21 RF,21,0.9957167922386211,0.997469269703543,0.9993232216911921,0.9851812176397072,185.58287620544434
Top-22 RF,22,0.9955103725874703,0.997465604634323,0.9992079750265488,0.9844559585492227,185.78720092773438
Top-23 RF,23,0.9956135824130458,0.9971077368040492,0.9993109294243712,0.984824138546688,185.1809024810791
Top-24 RF,24,0.9956135824130458,0.9967485549132948,0.9992323996434496,0.9848295555952169,186.77115440368652
Top-25 RF,25,0.9951491381979565,0.9960188201230546,0.9993350022244419,0.9832082886745266,183.6240291595459
Top-26 RF,26,0.9956651873258334,0.9971087820744489,0.9992913662763951,0.9850053552302749,182.236909866333
Top-27 RF,27,0.995561977500258,0.9981877491844872,0.9992522506415593,0.9846263854129425,188.13085556030273
Top-28 RF,28,0.9954071627618949,0.9978245105148659,0.9992397984579975,0.9840872519220454,185.54282188415527
Top-29 RF,29,0.9956651873258334,0.9974683544303797,0.9994104082983569,0.985,185.30011177062988
Top-30 RF,30,0.9957683971514089,0.9978300180831826,0.9994049604680486,0.9853571428571428,183.15696716308594
Top-31 RF,31,0.9957683971514089,0.9989126495106923,0.9995149938469369,0.985341437254201,186.3722801208496
Top-32 RF,32,0.9954071627618949,0.9978245105148659,0.9995778837705936,0.9840872519220454,182.09481239318848
Top-33 RF,33,0.9958200020641965,0.998191027496382,0.999280214748993,0.9855331309162351,181.80298805236816
Top-34 RF,34,0.9957167922386211,0.9978292329956585,0.9996021164874054,0.9851759242721915,182.25383758544922
Top-35 RF,35,0.9956135824130458,0.9971077368040492,0.9992912596652346,0.984824138546688,182.38306045532227
Top-36 RF,36,0.9956651873258334,0.9971087820744489,0.9996853798038587,0.9850053552302749,177.54697799682617
Top-37 RF,37,0.9958200020641965,0.998551774076756,0.9994367199328009,0.9855279614078971,179.64696884155273
Top-38 RF,38,0.9957167922386211,0.9967509025270758,0.999708162608886,0.9851917930419268,178.9710521697998
Top-39 RF,39,0.9961296315409227,0.9989154013015185,0.9996296861335447,0.9866095340117836,182.47199058532715
Top-40 RF,40,0.9961296315409227,0.9989154013015185,0.9997123417663827,0.9866095340117836,180.7401180267334
Top-41 RF,41,0.9962328413664981,0.9992769342010123,0.9995529260978898,0.9869666131048027,180.73010444641113
Top-42 RF,42,0.9961296315409227,0.9985549132947977,0.9997158919180318,0.9866143137604855,178.6642074584961
Top-43 RF,43,0.9963360511920735,0.9989169675090253,0.9995681395105119,0.9873327386262266,179.779052734375
Top-44 RF,44,0.9964908659304366,0.9981994958588405,0.999667522434453,0.9878831076265147,180.9709072113037
Top-45 RF,45,0.9962328413664981,0.9985559566787003,0.9997435575142158,0.9869759143621766,181.91981315612793
Top-46 RF,46,0.9963360511920735,0.9989169675090253,0.9996918830846574,0.9873327386262266,181.84685707092285
Top-47 RF,47,0.9961296315409227,0.9985549132947977,0.9997037062623716,0.9866143137604855,180.73797225952148
Top-48 RF,48,0.996594075756012,0.9996391194514616,0.9995955705621425,0.9882268997502676,184.83710289001465
Top-49 RF,49,0.9962844462792858,0.9978378378378379,0.9996874693826072,0.9871657754010695,180.16576766967773
Top-50 RF,50,0.9960264217153473,0.9981936416184971,0.9996103042245418,0.9862573621274318,181.29587173461914
Top-51 RF,51,0.9958716069769842,0.9971129556116926,0.9997901252691799,0.9857295754548698,181.04982376098633
Top-52 RF,52,0.9964392610176489,0.9989177489177489,0.9997269581565054,0.9876939539860888,180.9391975402832
Top-53 RF,53,0.9963876561048611,0.9989173583543847,0.9995102070058245,0.987513378523011,179.55708503723145
Top-54 RF,54,0.9963876561048611,0.9981981981981982,0.9996184066727498,0.9875222816399287,181.99896812438965
Top-55 RF,55,0.9963360511920735,0.998197548666186,0.9996711578750306,0.9873417721518988,179.28290367126465
Top-56 RF,56,0.9962844462792858,0.998196898665705,0.9997027361008097,0.9871611982881597,179.59213256835938
Top-57 RF,57,0.9963876561048611,0.9985575189325641,0.99937820106673,0.9875178316690443,180.01389503479004
Top-58 RF,58,0.9966456806687997,0.9996392496392497,0.9996944097691646,0.9884073479579097,180.8609962463379
Top-59 RF,59,0.9963876561048611,0.9985575189325641,0.9996885994609099,0.9875178316690443,182.47103691101074
Top-60 RF,60,0.9967488904943751,0.9992795389048992,0.9997050922074597,0.9887720548921761,181.53810501098633
Top-61 RF,61,0.9961812364537104,0.997836278398846,0.999520910766352,0.9868045649072753,186.12384796142578
Top-62 RF,62,0.9964908659304366,0.9992782389029231,0.9997522569849233,0.9878701391366393,184.09490585327148
Top-63 RF,63,0.996594075756012,0.9989189189189189,0.9996777357836417,0.9882352941176471,181.62202835083008
Top-64 RF,64,0.9963360511920735,0.998197548666186,0.9997786006027155,0.9873417721518988,181.1821460723877
